Access Date;Access Time;Modify Date;Modify Time;Create Date;Create Time;Permissions;User ID;Group ID;File Size;Filename
18/01/22;00:53:40.0000000000;17/01/22;16:42:35.0000000000;18/01/22;00:53:40.3956106320;644;1000;1002;390;./.git/logs/refs/heads/index.html
18/01/22;00:56:43.0000000000;17/01/22;16:42:49.0000000000;18/01/22;00:56:43.7236059620;644;1000;1002;180;./.git/logs/refs/heads/master
18/01/22;00:49:55.6596163560;18/01/22;00:52:14.4556128210;18/01/22;00:52:14.4556128210;755;1000;1002;428;./.git/objects
18/01/22;00:49:55.0000000000;17/01/22;16:42:14.0000000000;18/01/22;00:49:55.6596163560;644;1000;1002;3445;./.git/objects/index.html
18/01/22;00:50:45.7196150810;18/01/22;00:53:41.4236106060;18/01/22;00:53:41.4236106060;755;1000;1002;96;./.git/objects/00
18/01/22;00:50:45.0000000000;17/01/22;16:42:18.0000000000;18/01/22;00:50:45.7236150810;644;1000;1002;444;./.git/objects/00/index.html
18/01/22;00:53:41.0000000000;17/01/22;16:42:35.0000000000;18/01/22;00:53:41.4236106060;644;1000;1002;150;./.git/objects/00/d66bac80900508c71cdf6879c9bca201db0c1d
18/01/22;00:50:46.7676150550;18/01/22;00:53:43.6036105500;18/01/22;00:53:43.6036105500;755;1000;1002;172;./.git/objects/01
18/01/22;00:50:46.0000000000;17/01/22;16:42:18.0000000000;18/01/22;00:50:46.7756150540;644;1000;1002;545;./.git/objects/01/index.html
18/01/22;00:53:42.0000000000;17/01/22;16:42:35.0000000000;18/01/22;00:53:42.5556105770;644;1000;1002;858;./.git/objects/01/0b1ac170c93965be0f4ec4dfd9dfdf70944533
18/01/22;00:53:43.0000000000;17/01/22;16:42:36.0000000000;18/01/22;00:53:43.6076105500;644;1000;1002;516;./.git/objects/01/20cebc71a3602cce3192251787f0bcf8014164
18/01/22;00:50:47.8316150280;18/01/22;00:53:44.6836105230;18/01/22;00:53:44.6836105230;755;1000;1002;96;./.git/objects/02
18/01/22;00:50:47.0000000000;17/01/22;16:42:18.0000000000;18/01/22;00:50:47.8356150270;644;1000;1002;444;./.git/objects/02/index.html
18/01/22;00:53:44.0000000000;17/01/22;16:42:36.0000000000;18/01/22;00:53:44.6876105230;644;1000;1002;493;./.git/objects/02/fce99e55aa2e42910c0699119481a9f974672c
18/01/22;00:50:48.9076150000;18/01/22;00:53:45.7876104950;18/01/22;00:53:45.7876104950;755;1000;1002;96;./.git/objects/04
18/01/22;00:50:48.0000000000;17/01/22;16:42:19.0000000000;18/01/22;00:50:48.9156150000;644;1000;1002;444;./.git/objects/04/index.html
18/01/22;00:53:45.0000000000;17/01/22;16:42:36.0000000000;18/01/22;00:53:45.7916104940;644;1000;1002;192;./.git/objects/04/da3a80c01272f684cb01e8465462393e16be13
18/01/22;00:50:49.9956149720;18/01/22;00:53:49.1716104080;18/01/22;00:53:49.1716104080;755;1000;1002;248;./.git/objects/05
18/01/22;00:50:49.0000000000;17/01/22;16:42:19.0000000000;18/01/22;00:50:49.9956149720;644;1000;1002;646;./.git/objects/05/index.html
18/01/22;00:53:47.0000000000;17/01/22;16:42:36.0000000000;18/01/22;00:53:47.0436104630;644;1000;1002;277;./.git/objects/05/7e46e097ee804c9e9edf4427c711b1a17035f7
